lookalikeMap
"{'C0001': [('C0050', np.float64(0.5327)), ('C0100', np.float64(0.5286)), ('C0105', np.float64(0.522))]}"
"{'C0002': [('C0109', np.float64(0.5364)), ('C0079', np.float64(0.5285)), ('C0117', np.float64(0.5151))]}"
"{'C0003': [('C0181', np.float64(0.62)), ('C0186', np.float64(0.5565)), ('C0067', np.float64(0.5507))]}"
"{'C0004': [('C0063', np.float64(0.4592)), ('C0070', np.float64(0.4428)), ('C0076', np.float64(0.3829))]}"
"{'C0005': [('C0096', np.float64(0.6684)), ('C0192', np.float64(0.6418)), ('C0072', np.float64(0.6305))]}"
"{'C0006': [('C0058', np.float64(0.6833)), ('C0040', np.float64(0.6626)), ('C0046', np.float64(0.4295))]}"
"{'C0007': [('C0020', np.float64(0.5799)), ('C0031', np.float64(0.4426)), ('C0079', np.float64(0.4186))]}"
"{'C0008': [('C0165', np.float64(0.48)), ('C0169', np.float64(0.4235)), ('C0143', np.float64(0.382))]}"
"{'C0009': [('C0140', np.float64(0.7866)), ('C0156', np.float64(0.72)), ('C0112', np.float64(0.7112))]}"
"{'C0010': [('C0029', np.float64(0.8903)), ('C0092', np.float64(0.865)), ('C0083', np.float64(0.8423))]}"
"{'C0011': [('C0135', np.float64(0.6044)), ('C0173', np.float64(0.4228)), ('C0108', np.float64(0.372))]}"
"{'C0012': [('C0164', np.float64(0.6931)), ('C0173', np.float64(0.6266)), ('C0128', np.float64(0.62))]}"
"{'C0013': [('C0058', np.float64(0.557)), ('C0040', np.float64(0.5401)), ('C0131', np.float64(0.4942))]}"
"{'C0014': [('C0128', np.float64(0.5741)), ('C0159', np.float64(0.4412)), ('C0136', np.float64(0.3236))]}"
"{'C0015': [('C0073', np.float64(0.5474)), ('C0036', np.float64(0.4701)), ('C0179', np.float64(0.454))]}"
"{'C0016': [('C0052', np.float64(0.6706)), ('C0064', np.float64(0.6668)), ('C0187', np.float64(0.6574))]}"
"{'C0017': [('C0146', np.float64(0.4942)), ('C0147', np.float64(0.38)), ('C0046', np.float64(0.3678))]}"
"{'C0018': [('C0059', np.float64(0.3725)), ('C0115', np.float64(0.3569)), ('C0177', np.float64(0.3507))]}"
"{'C0019': [('C0064', np.float64(0.6393)), ('C0049', np.float64(0.5664)), ('C0084', np.float64(0.4534))]}"
"{'C0020': [('C0026', np.float64(0.6545)), ('C0007', np.float64(0.5799)), ('C0119', np.float64(0.5552))]}"
